Link_index	Source	Destination	Capacity(EPRps)	Length
0	0	1	73653.52	16.141	real
1	1	8	126.605	112.263	real
2	1	3	40411.19	22.227	real
3	2	41	17508.02	32.285	real
4	2	3	32333.114999999998	24.742	real
5	2	3	32333.114999999998	24.742	real
6	2	6	4831.155	50.521	real
7	3	49	19300.585	31.03	real
8	4	8	20606.565000000002	30.198	real
9	4	9	22860.22	28.899	real
10	4	7	12751.724999999999	36.502	real
11	5	8	8372.5	42.391	real
12	5	47	8650.119999999999	41.923	real
13	6	7	1050.835	75.052	real
14	8	32	13127.515000000001	36.108	real
15	8	35	111575.345	12.563	real
16	8	38	3676.175	54.72	real
17	8	47	655.3700000000001	83.094	real
18	8	36	29766.14	25.708	real
19	8	30	13990.920000000002	35.248	real
20	8	31	36088.75	23.487	real
21	9	32	27595.96	26.606	real
22	10	11	71258.84	16.449	real
23	11	19	19147.57	31.131	real
24	11	23	10063.745	39.777	real
25	12	30	230836.575	7.624	real
26	12	30	230836.575	7.624	real
27	13	14	54426.06	19.079	real
28	13	30	10194.585	39.596	real
29	14	42	76398.42	15.804	real
30	14	15	3203.26	56.872	real
31	14	45	670.84	82.693	real
32	15	16	3468.93	55.624	real
33	16	17	45643.869999999995	20.91	real
34	16	17	45643.869999999995	20.91	real
35	17	18	14062.974999999999	35.179	real
36	18	19	7518.674999999999	43.945	real
37	19	24	21545.915	29.637	real
38	19	30	975.58	76.306	real
39	20	26	69135.36	16.733	real
40	20	21	15997.99	33.465	real
41	21	28	259908.115	6.976	real
42	22	37	55558.435	18.87	real
43	22	30	21822.85	29.477	real
44	23	30	239219.21	7.424	real
45	24	27	41011.59	22.066	real
46	25	27	29465.46	25.827	real
47	25	37	58841.015	18.296	real
48	26	27	14245.54	35.006	real
49	26	27	14245.54	35.006	real
50	26	29	19398.73	30.965	real
51	28	29	26908.215	26.908	real
52	30	36	81770.44	15.19	real
53	30	38	4040.75	53.256	real
54	30	31	113819.655	12.405	real
55	32	33	754750.65	2.898	real
56	32	38	53233.72	19.305	real
57	32	39	74101.23999999999	16.085	real
58	33	34	142584.54499999998	10.708	real
59	34	35	95201.74	13.866	real
60	37	38	110755.64	12.622	real
61	37	38	110755.64	12.622	real
62	38	39	192376.41	8.704	real
63	40	41	8923.59	41.479	real
64	40	49	21514.864999999998	29.655	real
65	42	44	27773.045000000002	26.529	real
66	42	46	14132.02	35.113	real
67	43	44	62439.97	17.711	real
68	43	46	92015.84000000001	14.156	real
69	45	47	2115.925	63.488	real
70	46	47	22641.67	29.018	real
71	47	48	43302.59	21.475	real
72	48	49	53651.94	19.225	real
73	13	50	53651.94	0	virtual
74	50	14	53651.94	85.15	real
75	9	51	53651.94	0	virtual
76	51	32	53651.94	21.59	real
77	18	52	53651.94	0	virtual
78	52	19	53651.94	97.65	real
79	1	53	53651.94	0	virtual
80	53	3	53651.94	25.6	real
81	3	54	53651.94	0	virtual
82	54	49	53651.94	5.54	real
83	42	55	53651.94	0	virtual
84	55	44	53651.94	105.86	real
85	20	56	53651.94	0	virtual
86	56	21	53651.94	31.84	real
87	45	57	53651.94	0	virtual
88	57	47	53651.94	50.85	real
89	43	58	53651.94	0	virtual
90	58	44	53651.94	45.1	real
91	8	59	53651.94	0	virtual
92	59	32	53651.94	50.7	real
93	5	60	53651.94	0	virtual
94	60	8	53651.94	18.03	real
95	0	61	53651.94	0	virtual
96	61	1	53651.94	36.65	real
97	14	62	53651.94	0	virtual
98	62	45	53651.94	27.19	real
99	8	63	53651.94	0	virtual
100	63	31	53651.94	35.82	real
101	19	64	53651.94	0	virtual
102	64	24	53651.94	102.61	real
103	14	65	53651.94	0	virtual
104	65	42	53651.94	49.8	real
105	33	66	53651.94	0	virtual
106	66	34	53651.94	79.09	real
107	30	67	53651.94	0	virtual
108	67	31	53651.94	32.95	real
109	1	68	53651.94	0	virtual
110	68	8	53651.94	43.57	real
111	34	69	53651.94	0	virtual
112	69	35	53651.94	59.02	real
113	14	70	53651.94	0	virtual
114	70	45	53651.94	66.95	real
115	32	71	53651.94	0	virtual
116	71	33	53651.94	98.02	real
117	15	72	53651.94	0	virtual
118	72	16	53651.94	4.75	real
119	20	73	53651.94	0	virtual
120	73	21	53651.94	67.21	real
121	5	74	53651.94	0	virtual
122	74	8	53651.94	102.8	real
123	37	75	53651.94	0	virtual
124	75	38	53651.94	8.14	real
125	43	76	53651.94	0	virtual
126	76	46	53651.94	80.52	real
127	34	77	53651.94	0	virtual
128	77	35	53651.94	107.68	real
129	22	78	53651.94	0	virtual
130	78	37	53651.94	29.99	real
131	12	79	53651.94	0	virtual
132	79	30	53651.94	69.13	real
133	34	80	53651.94	0	virtual
